,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,image,summary,_links
0,1,https://www.tvmaze.com/episodes/1/under-the-dome-1x01-pilot,Pilot,1,1,regular,2013-06-24,22:00,2013-06-25T02:00:00+00:00,60,6.8,https://static.tvmaze.com/uploads/images/medium_landscape/1/4388.jpg,"When the residents of Chester's Mill find themselves trapped under a massive transparent dome with no way out, they struggle to survive as resources rapidly dwindle and panic quickly escalates.",https://api.tvmaze.com/episodes/1
1,2,https://www.tvmaze.com/episodes/2/under-the-dome-1x02-the-fire,The Fire,1,2,regular,2013-07-01,22:00,2013-07-02T02:00:00+00:00,60,6.5,https://static.tvmaze.com/uploads/images/medium_landscape/1/4389.jpg,"While the residents of Chester's Mill face the uncertainty of life in the dome, panic is heightened when a house goes up in flames and their fire department is outside of the dome.",https://api.tvmaze.com/episodes/2
2,3,https://www.tvmaze.com/episodes/3/under-the-dome-1x03-manhunt,Manhunt,1,3,regular,2013-07-08,22:00,2013-07-09T02:00:00+00:00,60,6.3,https://static.tvmaze.com/uploads/images/medium_landscape/1/4390.jpg,"When a former deputy goes rogue, Big Jim recruits Barbie to join the manhunt to keep the town safe. Meanwhile, Junior is determined to escape the dome by going underground.",https://api.tvmaze.com/episodes/3
3,4,https://www.tvmaze.com/episodes/4/under-the-dome-1x04-outbreak,Outbreak,1,4,regular,2013-07-15,22:00,2013-07-16T02:00:00+00:00,60,6.5,https://static.tvmaze.com/uploads/images/medium_landscape/1/4391.jpg,"The people of Chester's Mill fall into a state of panic as an outbreak of meningitis strikes their community, threatening their already depleted medical supplies. Meanwhile, Julia continues to search for answers into her husband's disappearance.",https://api.tvmaze.com/episodes/4
4,5,https://www.tvmaze.com/episodes/5/under-the-dome-1x05-blue-on-blue,Blue on Blue,1,5,regular,2013-07-22,22:00,2013-07-23T02:00:00+00:00,60,6.5,https://static.tvmaze.com/uploads/images/medium_landscape/1/4392.jpg,"The Chester's Mill residents receive an unexpected visit from their loved ones on the other side. Meanwhile, the community braces for a threat from outside the Dome.",https://api.tvmaze.com/episodes/5
5,6,https://www.tvmaze.com/episodes/6/under-the-dome-1x06-the-endless-thirst,The Endless Thirst,1,6,regular,2013-07-29,22:00,2013-07-30T02:00:00+00:00,60,6.3,https://static.tvmaze.com/uploads/images/medium_landscape/1/4393.jpg,"When the town begins to run low on water, the residents of Chester's Mill begin to fight for the remaining resources. Meanwhile, Julia discovers a strange connection that two of the town's residents have with the Dome.",https://api.tvmaze.com/episodes/6
6,7,https://www.tvmaze.com/episodes/7/under-the-dome-1x07-imperfect-circles,Imperfect Circles,1,7,regular,2013-08-05,22:00,2013-08-06T02:00:00+00:00,60,6.8,https://static.tvmaze.com/uploads/images/medium_landscape/1/4394.jpg,"Big Jim takes matters into his own hands when he feels his authority slipping away, and the dome displays its power when a life is taken just as a newborn arrives.",https://api.tvmaze.com/episodes/7
7,8,https://www.tvmaze.com/episodes/8/under-the-dome-1x08-thicker-than-water,Thicker Than Water,1,8,regular,2013-08-12,22:00,2013-08-13T02:00:00+00:00,60,6.4,https://static.tvmaze.com/uploads/images/medium_landscape/1/4395.jpg,"Junior stands up to his father and is shattered when he discovers the truth about his mother's past. Meanwhile, Julia learns firsthand the powers of the ""mini dome"".",https://api.tvmaze.com/episodes/8
8,9,https://www.tvmaze.com/episodes/9/under-the-dome-1x09-the-fourth-hand,The Fourth Hand,1,9,regular,2013-08-19,22:00,2013-08-20T02:00:00+00:00,60,6.6,https://static.tvmaze.com/uploads/images/medium_landscape/1/4396.jpg,"Big Jim and Barbie discover their lives are more intertwined than they knew when a mysterious woman, Maxine, shows up unexpectedly in Chester's Mill.",https://api.tvmaze.com/episodes/9
9,10,https://www.tvmaze.com/episodes/10/under-the-dome-1x10-let-the-games-begin,Let the Games Begin,1,10,regular,2013-08-26,22:00,2013-08-27T02:00:00+00:00,60,6.6,https://static.tvmaze.com/uploads/images/medium_landscape/1/4397.jpg,"Julia uncovers the truth about her husband's disappearance and unravels some of Chester's Mill's darkest secrets. Meanwhile, Maxine shows Barbie how she plans to take control of the town.",https://api.tvmaze.com/episodes/10
